MyUnknownColumn,Ind_ID,GENDER,Car_Owner,Propert_Owner,CHILDREN,Annual_income,Type_Income,EDUCATION,Marital_status,Housing_type,Birthday_count,Employed_days,Mobile_phone,Work_Phone,Phone,EMAIL_ID,Type_Occupation,Family_Members,label
350,5036881,F,Y,Y,0,225000,Pensioner,"Secondary / secondary special",Married,"House / apartment",-22471,365243,1,0,0,0,Laborers,2,0
354,5078842,F,Y,Y,1,135000,Working,"Secondary / secondary special",Married,"With parents",-10532,-117,1,0,0,0,"Private service staff",3,0
365,5113291,F,Y,Y,2,121500,Working,"Incomplete higher",Married,"House / apartment",-11327,-101,1,1,1,0,"Core staff",4,0
366,5139951,F,Y,Y,0,121500,"State servant","Secondary / secondary special",Married,"House / apartment",-19988,-3231,1,1,0,0,Laborers,2,0
376,5010397,F,Y,Y,1,225000,Working,"Higher education",Married,"House / apartment",-14148,-1591,1,1,1,0,"High skill tech staff",3,0
377,5047789,F,Y,Y,0,225000,"Commercial associate","Higher education",Married,"House / apartment",-10457,-979,1,0,0,0,Laborers,2,0
378,5105657,F,Y,Y,2,540000,Working,"Higher education","Single / not married","House / apartment",-14160,-422,1,0,1,1,Laborers,3,0
380,5035791,F,Y,Y,0,90000,Pensioner,"Secondary / secondary special",Widow,"House / apartment",-21973,365243,1,0,0,0,Laborers,1,0
382,5088699,F,Y,Y,0,252000,Working,"Secondary / secondary special",Married,"House / apartment",-17562,-1261,1,0,0,0,"Medicine staff",2,0
384,5023460,F,Y,Y,0,315000,Pensioner,"Secondary / secondary special","Single / not married","House / apartment",-21012,365243,1,0,0,0,Laborers,1,0
386,5146472,F,Y,Y,0,180000,"Commercial associate","Higher education","Civil marriage","House / apartment",-14133,-3810,1,0,0,0,"Sales staff",2,0
397,5135574,F,Y,Y,0,180000,Working,"Secondary / secondary special",Married,"House / apartment",-11749,-992,1,0,0,0,"Medicine staff",2,0
404,5113132,F,Y,Y,0,360000,"Commercial associate","Secondary / secondary special",Married,"House / apartment",-19033,-3535,1,0,0,0,"Sales staff",2,0
405,5062670,F,Y,Y,1,135000,Working,"Higher education",Married,"House / apartment",-14863,-4407,1,0,0,0,Managers,3,0
409,5045203,F,Y,Y,0,139500,Pensioner,"Secondary / secondary special",Married,"House / apartment",-21009,365243,1,0,0,0,Laborers,2,0
411,5029544,F,Y,Y,1,133650,"Commercial associate","Secondary / secondary special",Married,"House / apartment",-14596,-1965,1,0,0,0,Laborers,3,0
413,5111159,F,Y,Y,1,81000,Working,"Higher education",Married,"House / apartment",-10648,-1393,1,1,1,0,"Core staff",3,0
414,5099957,F,Y,Y,1,225000,"Commercial associate","Higher education",Married,"House / apartment",-11239,-460,1,0,0,0,Accountants,3,0
418,5149319,F,Y,Y,1,180000,Working,"Higher education",Separated,"House / apartment",-18838,-5981,1,0,0,0,Managers,2,0
437,5113288,F,Y,Y,2,121500,Working,"Incomplete higher",Married,"House / apartment",-11327,-101,1,1,1,0,"Core staff",4,0
438,5053003,F,Y,Y,0,157500,Working,"Incomplete higher",Married,"House / apartment",-9389,-1632,1,1,1,0,Laborers,2,0
448,5061321,F,Y,Y,1,261000,"State servant","Higher education",Married,"House / apartment",-15050,-1628,1,0,0,0,Managers,3,0
449,5139410,F,Y,Y,2,135000,"State servant","Secondary / secondary special",Married,"House / apartment",-14439,-6094,1,1,0,0,"Core staff",4,0
457,5022804,F,Y,Y,0,202500,Working,"Higher education",Widow,"House / apartment",-11998,-1497,1,0,0,0,Managers,1,0
480,5092164,F,Y,Y,0,45900,Pensioner,"Secondary / secondary special",Widow,"House / apartment",-20282,365243,1,0,1,0,Laborers,1,0
486,5088851,F,Y,Y,0,112500,Working,"Higher education",Married,"House / apartment",-11353,-2316,1,0,0,1,Accountants,2,0
495,5068390,F,Y,Y,1,270000,Working,"Higher education",Separated,"House / apartment",-14052,-140,1,0,1,1,"Sales staff",2,0
496,5046036,F,Y,Y,0,99000,Pensioner,"Secondary / secondary special","Civil marriage","House / apartment",-21527,365243,1,0,0,0,Laborers,2,0
498,5010781,F,Y,Y,1,157500,"Commercial associate","Higher education",Married,"House / apartment",-14474,-2259,1,0,0,1,"Core staff",3,0
507,5139553,F,Y,Y,2,157500,"Commercial associate","Higher education",Married,"House / apartment",-13584,-6337,1,0,1,0,"Medicine staff",4,0
514,5062031,F,Y,Y,0,225000,Working,"Higher education","Single / not married","House / apartment",-9688,-593,1,0,1,1,Laborers,1,0
522,5041307,F,Y,Y,0,90000,Pensioner,"Secondary / secondary special",Married,"House / apartment",-23118,365243,1,0,1,0,Laborers,2,0
529,5092436,F,Y,Y,0,112500,Pensioner,"Secondary / secondary special",Married,"House / apartment",-19921,365243,1,0,1,0,Laborers,2,0
543,5099877,F,Y,Y,0,103500,Pensioner,"Secondary / secondary special",Married,"House / apartment",-21671,365243,1,0,1,0,Laborers,2,0
550,5067020,F,Y,Y,1,247500,Working,"Secondary / secondary special","Civil marriage","House / apartment",-17152,-1253,1,0,0,1,Laborers,3,0
572,5024586,F,Y,Y,2,315000,"State servant","Secondary / secondary special",Married,"House / apartment",-12348,-1220,1,0,0,0,Managers,4,0
577,5142579,F,Y,Y,1,234000,Working,"Secondary / secondary special","Single / not married","House / apartment",-20668,-2844,1,0,0,0,Laborers,2,0
578,5046035,F,Y,Y,0,99000,Pensioner,"Secondary / secondary special","Civil marriage","House / apartment",-21527,365243,1,0,0,0,Laborers,2,0
590,5090788,F,Y,Y,1,225000,"Commercial associate","Secondary / secondary special",Separated,"House / apartment",-10909,-1374,1,0,0,0,Managers,2,0
593,5143319,F,Y,Y,0,112500,Pensioner,"Secondary / secondary special",Married,"House / apartment",-20838,365243,1,0,0,0,Laborers,2,0
601,5091735,F,Y,Y,0,243000,Working,"Secondary / secondary special","Single / not married","House / apartment",-14716,-2057,1,0,0,0,"Sales staff",1,0
611,5135530,F,Y,Y,0,99000,Pensioner,"Secondary / secondary special",Married,"House / apartment",-21014,365243,1,0,0,0,Laborers,2,0
621,5125730,F,Y,Y,1,119700,Working,"Higher education",Married,"House / apartment",-13058,-3329,1,0,1,0,Laborers,3,0
638,5053678,F,Y,Y,0,225000,"Commercial associate","Secondary / secondary special","Single / not married","House / apartment",-12075,-1430,1,0,1,0,"High skill tech staff",1,0
640,5050440,F,Y,Y,1,157500,Working,"Incomplete higher","Civil marriage","House / apartment",-13046,-2753,1,0,0,0,Laborers,3,0
657,5008865,F,Y,Y,2,135000,Working,"Secondary / secondary special",Married,"House / apartment",-15761,-3173,1,0,0,0,Laborers,4,0
672,5010567,F,Y,Y,0,121500,Working,"Higher education",Married,"House / apartment",-10145,-1682,1,0,0,1,"Sales staff",2,0
675,5036187,F,Y,Y,1,157500,Pensioner,"Secondary / secondary special",Married,"House / apartment",-20661,365243,1,0,1,0,Laborers,3,0
677,5067444,F,Y,Y,0,135000,Pensioner,"Secondary / secondary special",Married,"House / apartment",-22880,365243,1,0,0,0,Laborers,2,0
679,5117331,F,Y,Y,0,270000,"Commercial associate","Secondary / secondary special",Separated,"House / apartment",-15027,-2257,1,0,1,0,"Sales staff",1,0
683,5066832,F,Y,Y,0,157500,Pensioner,"Lower secondary",Married,"House / apartment",-21739,365243,1,0,0,0,Laborers,2,0
687,5035682,F,Y,Y,0,135000,Working,"Secondary / secondary special","Civil marriage","House / apartment",-16505,-8377,1,0,0,0,Laborers,2,0
700,5142496,F,Y,Y,1,135000,"Commercial associate","Higher education",Married,"House / apartment",-15481,-2874,1,0,0,0,"Private service staff",3,0
710,5091718,F,Y,Y,0,90000,"Commercial associate","Secondary / secondary special",Married,"House / apartment",-14116,-2269,1,0,0,0,"Medicine staff",2,0
717,5046086,F,Y,Y,0,99000,Working,"Secondary / secondary special",Married,"House / apartment",-21030,-2299,1,0,0,0,Laborers,2,0
733,5041675,F,Y,Y,1,333000,"Commercial associate","Higher education",Married,"House / apartment",-11525,-1616,1,0,0,0,Managers,3,0
749,5113163,F,Y,Y,1,180000,Working,"Secondary / secondary special",Married,"House / apartment",-12579,-3716,1,1,1,0,Laborers,3,0
754,5090335,F,Y,Y,0,144000,"Commercial associate","Secondary / secondary special","Civil marriage","House / apartment",-13095,-3716,1,1,1,0,"Medicine staff",2,0
763,5022800,F,Y,Y,0,202500,Working,"Higher education",Widow,"House / apartment",-11998,-1497,1,0,0,0,Managers,1,0
770,5088101,F,Y,Y,0,270000,Working,"Secondary / secondary special",Separated,"House / apartment",-16971,-375,1,0,0,0,Laborers,1,0
782,5066458,F,Y,Y,0,135000,Working,"Secondary / secondary special",Separated,"House / apartment",-16040.34207,-1406,1,0,0,0,Laborers,1,0
792,5068337,F,Y,Y,0,112500,Working,"Higher education",Married,"House / apartment",-10101,-505,1,1,1,0,Laborers,2,0
795,5028919,F,Y,Y,0,112500,Working,"Secondary / secondary special",Married,"House / apartment",-17202,-1787,1,0,0,0,"Sales staff",2,0
808,5149433,F,Y,Y,0,112500,Working,"Secondary / secondary special",Widow,"House / apartment",-19584,-2633,1,0,0,0,Laborers,1,0
837,5149484,F,Y,Y,1,135000,"Commercial associate","Higher education",Married,"House / apartment",-11278,-2481,1,0,0,0,Laborers,3,0
842,5033797,F,Y,Y,0,148500,"Commercial associate","Secondary / secondary special",Married,"Office apartment",-17107,-2277,1,0,0,0,"Core staff",2,0
843,5022803,F,Y,Y,0,202500,Working,"Higher education",Widow,"House / apartment",-11998,-1497,1,0,0,0,Managers,1,0
870,5069257,F,Y,Y,1,67500,Working,"Secondary / secondary special",Married,"House / apartment",-12821,-931,1,0,1,1,Laborers,3,0
883,5067832,F,Y,Y,0,315000,Working,"Higher education",Married,"House / apartment",-21377,-577,1,0,0,1,Laborers,2,0
888,5091737,F,Y,Y,0,243000,Working,"Secondary / secondary special","Single / not married","House / apartment",-14716,-2057,1,0,0,0,"Sales staff",1,0
895,5096785,F,Y,Y,0,270000,Pensioner,"Secondary / secondary special",Married,"House / apartment",-24194,365243,1,0,0,0,Laborers,2,0
909,5115957,F,Y,Y,0,180000,Working,"Secondary / secondary special",Widow,"House / apartment",-15494,-4304,1,0,0,0,"Sales staff",1,0
913,5029610,F,Y,Y,0,180000,"Commercial associate","Higher education","Single / not married","House / apartment",-15161,-7140,1,0,0,0,"Core staff",1,0
932,5036396,F,Y,Y,0,112500,Working,"Secondary / secondary special","Civil marriage","House / apartment",-13686,-1256,1,0,0,0,"Cooking staff",2,0
942,5045850,F,Y,Y,2,315000,"Commercial associate","Higher education",Married,"With parents",-12621,-1327,1,0,0,0,Managers,4,0
951,5091880,F,Y,Y,0,202500,"Commercial associate","Secondary / secondary special",Married,"House / apartment",-18463,-7048,1,0,0,0,Accountants,2,0
958,5010225,F,Y,Y,1,90000,"State servant","Secondary / secondary special",Married,"House / apartment",-17532,-8044,1,0,0,0,"Medicine staff",3,0
978,5068631,F,Y,Y,0,216000,Working,"Secondary / secondary special",Married,"House / apartment",-21216,-3641,1,0,0,0,Managers,2,0
985,5106118,F,Y,Y,1,135000,Working,"Higher education",Married,"House / apartment",-13467,-393,1,0,0,0,"Core staff",3,0
989,5067262,F,Y,Y,0,270000,Working,"Secondary / secondary special",Married,"House / apartment",-19982,-1724,1,0,1,0,Laborers,2,0
996,5029225,F,Y,Y,0,144000,Pensioner,"Secondary / secondary special","Civil marriage","House / apartment",-21406,365243,1,0,1,0,Laborers,2,0
1003,5028569,F,Y,Y,0,315000,"Commercial associate","Secondary / secondary special",Married,"House / apartment",-15653,-5500,1,0,0,1,"Core staff",2,0
1013,5067019,F,Y,Y,1,247500,Working,"Secondary / secondary special","Civil marriage","House / apartment",-17152,-1253,1,0,0,1,Laborers,3,0
1019,5021730,F,Y,Y,1,180000,"Commercial associate","Secondary / secondary special",Married,"House / apartment",-16971,-1375,1,0,0,1,"Cleaning staff",3,0
1022,5021293,F,Y,Y,1,180000,"Commercial associate","Higher education",Married,"House / apartment",-11901,-183,1,0,0,1,"Core staff",3,0
1025,5062294,F,Y,Y,0,225000,Working,"Higher education",Married,"House / apartment",-17795,-2450,1,0,0,1,Managers,2,0
1028,5090790,F,Y,Y,0,238500,Working,"Higher education",Married,"House / apartment",-15203,-7095,1,0,0,0,"Medicine staff",2,0
1030,5069292,F,Y,Y,1,180000,"Commercial associate","Secondary / secondary special",Married,"House / apartment",-15461,-2605,1,1,1,0,Managers,3,0
1074,5148981,F,Y,Y,0,94500,Working,"Secondary / secondary special",Married,"House / apartment",-18095,-10364,1,0,0,0,"High skill tech staff",2,0
1085,5054496,F,Y,Y,0,225000,"Commercial associate","Higher education",Separated,"House / apartment",-12102,-1185,1,0,0,0,"Waiters/barmen staff",1,0
1096,5091651,F,Y,Y,1,252000,"Commercial associate","Secondary / secondary special",Separated,"House / apartment",-10707,-747,1,0,0,0,Laborers,2,0
1102,5033728,F,Y,Y,1,202500,Working,"Secondary / secondary special",Married,"House / apartment",-13666,-2089,1,1,1,0,"Core staff",3,0
1103,5149327,F,Y,Y,1,180000,Working,"Higher education",Separated,"House / apartment",-18838,-5981,1,0,0,0,Managers,2,0
1110,5028446,F,Y,Y,0,162000,Working,"Secondary / secondary special","Single / not married","House / apartment",-18071,-2822,1,0,0,0,Laborers,1,0
1119,5036926,F,Y,Y,0,157500,"Commercial associate","Secondary / secondary special",Married,"House / apartment",-11907,-2988,1,1,1,1,"Core staff",2,0
1126,5068339,F,Y,Y,0,112500,Working,"Higher education",Married,"House / apartment",-10101,-505,1,1,1,0,Laborers,2,0
1132,5028930,F,Y,Y,0,112500,Working,"Secondary / secondary special",Married,"House / apartment",-17202,-1787,1,0,0,0,"Sales staff",2,0
1139,5142239,F,Y,Y,0,270000,"State servant","Higher education",Married,"House / apartment",-16421,-8230,1,0,0,0,Managers,2,0
1150,5053173,F,Y,Y,0,157500,Working,"Secondary / secondary special",Married,"House / apartment",-16712,-2393,1,0,0,0,"Core staff",2,0
1156,5068340,F,Y,Y,0,112500,Working,"Higher education",Married,"House / apartment",-10101,-505,1,1,1,0,Laborers,2,0
1162,5066465,F,Y,Y,0,135000,Working,"Secondary / secondary special",Separated,"House / apartment",-16211,-1406,1,0,0,0,Laborers,1,0
1163,5117254,F,Y,Y,0,207000,"State servant","Higher education",Married,"House / apartment",-22398,-3506,1,0,0,0,"Medicine staff",2,0
1171,5010218,F,Y,Y,1,90000,"State servant","Secondary / secondary special",Married,"House / apartment",-17532,-8044,1,0,0,0,"Medicine staff",3,0
1179,5023475,F,Y,Y,0,315000,Pensioner,"Secondary / secondary special","Single / not married","House / apartment",-21012,365243,1,0,0,0,Laborers,1,0
1190,5113711,F,Y,Y,1,405000,"State servant","Secondary / secondary special",Married,"House / apartment",-16962,-407,1,0,1,1,Laborers,3,0
1191,5069199,F,Y,Y,1,225000,"Commercial associate","Secondary / secondary special",Married,"House / apartment",-13591,-3246,1,0,0,0,"Sales staff",3,0
1213,5047787,F,Y,Y,0,225000,"Commercial associate","Higher education",Married,"House / apartment",-10457,-979,1,0,0,0,Laborers,2,0
1221,5028468,F,Y,Y,2,135000,Working,"Secondary / secondary special",Married,"House / apartment",-12406,-265,1,0,0,1,Drivers,4,0
1227,5113171,F,Y,Y,1,67500,Working,"Secondary / secondary special",Married,"House / apartment",-11454,-1678,1,0,1,1,"Cooking staff",3,0
1261,5046083,F,Y,Y,0,99000,Working,"Secondary / secondary special",Married,"House / apartment",-21030,-2299,1,0,0,0,Laborers,2,0
1270,5116046,F,Y,Y,0,144000,Working,"Secondary / secondary special",Married,"House / apartment",-13455,-2051,1,0,0,0,"Core staff",2,0
1281,5140019,F,Y,Y,1,180000,"Commercial associate","Secondary / secondary special","Single / not married","House / apartment",-11348,-1436,1,0,0,0,"Private service staff",2,0
1295,5091564,F,Y,Y,1,135000,Working,"Secondary / secondary special",Married,"House / apartment",-14935,-1753,1,0,1,0,"Sales staff",3,0
1306,5061139,F,Y,Y,0,90000,Pensioner,"Secondary / secondary special",Married,"House / apartment",-21454,365243,1,0,0,0,Laborers,2,0
1317,5090383,F,Y,Y,0,180000,"Commercial associate","Secondary / secondary special",Married,"House / apartment",-15421,-1198,1,0,1,0,Laborers,2,0
1324,5125710,F,Y,Y,0,135000,Working,"Lower secondary",Married,"House / apartment",-16413,-622,1,0,1,0,"High skill tech staff",2,0
1332,5068712,F,Y,Y,0,90000,Working,"Secondary / secondary special",Married,"House / apartment",-13483,-5345,1,0,0,0,Laborers,2,0
1348,5148748,F,Y,Y,1,135000,"Commercial associate","Incomplete higher","Civil marriage","House / apartment",-11469,-686,1,0,1,0,Laborers,3,0
1349,5024582,F,Y,Y,2,315000,"State servant","Secondary / secondary special",Married,"House / apartment",-12348,-1220,1,0,0,0,Managers,4,0
1371,5125425,F,Y,Y,1,189000,Working,"Lower secondary",Married,"House / apartment",-16344,-864,1,0,0,1,"Core staff",3,0
1375,5069466,F,Y,Y,0,166500,Working,"Secondary / secondary special",Married,"House / apartment",-12192,-3123,1,0,0,0,Laborers,2,0
1378,5010226,F,Y,Y,1,90000,"State servant","Secondary / secondary special",Married,"House / apartment",-17532,-8044,1,0,0,0,"Medicine staff",3,0
1379,5021790,F,Y,Y,2,157500,Working,"Secondary / secondary special",Married,"House / apartment",-15021,-6879,1,0,0,0,"High skill tech staff",4,0
1382,5037202,F,Y,Y,1,112500,Working,"Higher education",Married,"House / apartment",-9032,-420,1,0,0,0,Managers,3,0
1388,5149296,F,Y,Y,0,247500,"Commercial associate","Higher education",Married,"House / apartment",-14462,-1871,1,0,1,1,Laborers,2,0
1397,5067242,F,Y,Y,0,391500,Working,"Secondary / secondary special",Married,"House / apartment",-16995,-7264,1,0,0,0,"Core staff",2,0
1406,5116621,F,Y,Y,1,157500,"State servant","Secondary / secondary special",Married,"House / apartment",-13811,-3380,1,0,0,0,Laborers,3,0
1407,5091925,F,Y,Y,0,405000,"Commercial associate","Incomplete higher",Married,"House / apartment",-18517,-3944,1,0,1,0,Laborers,2,0
1411,5061145,F,Y,Y,0,90000,Pensioner,"Secondary / secondary special",Married,"House / apartment",-21454,365243,1,0,0,0,Laborers,2,0
1415,5142547,F,Y,Y,0,157500,"Commercial associate","Higher education","Single / not married","House / apartment",-16040.34207,-1138,1,0,0,0,"Private service staff",1,0
1416,5091708,F,Y,Y,0,135000,Working,"Higher education",Married,"House / apartment",-12274,-3944,1,0,0,0,Managers,2,0
1436,5088853,F,Y,Y,0,112500,Working,"Higher education",Married,"House / apartment",-11353,-2316,1,0,0,1,Accountants,2,0
1454,5113259,F,Y,Y,0,247500,Working,"Secondary / secondary special","Single / not married","With parents",-11770,-285,1,0,0,0,"Sales staff",1,0
1460,5022156,F,Y,Y,2,180000,"Commercial associate","Higher education",Married,"House / apartment",-11719,-2866,1,0,1,1,Laborers,4,0
1472,5091382,F,Y,Y,2,216000,Working,"Higher education",Married,"House / apartment",-12757,-4887,1,0,0,0,"Core staff",4,0
1478,5023816,F,Y,Y,1,225000,"Commercial associate","Higher education",Married,"House / apartment",-17002,-803,1,1,1,0,Managers,3,0
1484,5094926,F,Y,Y,0,135000,"Commercial associate","Secondary / secondary special",Married,"House / apartment",-12175,-1463,1,1,0,0,"Core staff",2,0
1485,5067312,F,Y,Y,0,225000,Pensioner,"Secondary / secondary special",Married,"House / apartment",-22920,365243,1,0,0,0,Laborers,2,0
1488,5068367,F,Y,Y,1,270000,Working,"Secondary / secondary special",Married,"House / apartment",-14084,-3246,1,0,0,0,Laborers,3,0
1506,5125172,F,Y,Y,0,157500,Working,"Secondary / secondary special",Married,"House / apartment",-15023,-438,1,0,0,0,Laborers,2,0
1509,5024077,F,Y,Y,0,157500,Pensioner,"Secondary / secondary special",Widow,"House / apartment",-20432,365243,1,0,0,0,Laborers,1,0
1510,5118580,F,Y,Y,0,180000,Working,"Secondary / secondary special",Married,"House / apartment",-13052,-1741,1,0,0,0,Laborers,2,0
1524,5048458,F,Y,Y,1,126000,Working,"Higher education",Married,"House / apartment",-9441,-157,1,0,0,0,Laborers,3,0
1525,5023719,F,Y,Y,0,175500,Pensioner,"Higher education",Married,"House / apartment",-22077,365243,1,0,1,0,Laborers,2,0
1528,5033520,F,Y,Y,3,180000,Working,"Secondary / secondary special",Married,"Municipal apartment",-12559,-5862,1,0,1,0,"Medicine staff",5,0
1540,5024049,F,Y,Y,1,144000,Working,"Higher education",Married,"House / apartment",-12903,-2924,1,0,0,0,Accountants,3,0
1547,5053790,F,Y,Y,0,225000,Working,"Higher education",Married,"House / apartment",-16601,-2859,1,0,0,0,Laborers,2,0
