MyUnknownColumn,Ind_ID,GENDER,Car_Owner,Propert_Owner,CHILDREN,Annual_income,Type_Income,EDUCATION,Marital_status,Housing_type,Birthday_count,Employed_days,Mobile_phone,Work_Phone,Phone,EMAIL_ID,Type_Occupation,Family_Members,label
130,5118275,F,N,N,0,112500,Pensioner,"Secondary / secondary special",Married,"Municipal apartment",-21363,365243,1,0,0,0,Laborers,2,1
131,5118278,F,N,N,0,112500,Pensioner,"Secondary / secondary special",Married,"Municipal apartment",-21363,365243,1,0,0,0,Laborers,2,1
132,5118279,F,N,N,0,112500,Pensioner,"Secondary / secondary special",Married,"Municipal apartment",-21363,365243,1,0,0,0,Laborers,2,1
135,5118541,F,N,Y,0,72000,Working,"Secondary / secondary special",Married,"House / apartment",-18132,-1039,1,0,1,0,Laborers,2,1
137,5125299,F,N,Y,0,148500,Pensioner,"Secondary / secondary special",Married,"House / apartment",-20846,365243,1,0,0,0,Laborers,2,1
138,5125708,F,Y,Y,0,135000,Working,"Lower secondary",Married,"House / apartment",-16413,-622,1,0,1,0,"High skill tech staff",2,1
139,5125716,F,Y,Y,0,135000,Working,"Lower secondary",Married,"House / apartment",-16413,-622,1,0,1,0,"High skill tech staff",2,1
161,5145690,F,N,Y,0,306000,Pensioner,"Higher education",Married,"House / apartment",-21590,365243,1,0,0,0,Laborers,2,1
162,5145817,F,N,Y,0,90000,Pensioner,"Secondary / secondary special",Married,"House / apartment",-22011,365243,1,0,0,0,Laborers,2,1
164,5146079,F,N,Y,1,108000,Working,"Secondary / secondary special",Married,"House / apartment",-12723,-1132,1,1,1,0,"Sales staff",3,1
165,5146167,F,N,Y,0,135000,Working,"Secondary / secondary special",Married,"House / apartment",-20296,-1770,1,0,0,0,"Security staff",2,1
173,5149834,F,N,Y,0,157500,"Commercial associate","Higher education",Married,"House / apartment",-12387,-1325,1,0,1,1,"Medicine staff",2,1
174,5149838,F,N,Y,0,157500,Pensioner,"Higher education",Married,"House / apartment",-12387,-1325,1,0,1,1,"Medicine staff",2,1
175,5118538,F,N,Y,1,81000,Working,"Secondary / secondary special",Married,"Municipal apartment",-15749,-6367,1,1,1,0,"Cleaning staff",3,0
178,5086062,F,N,Y,0,135000,"State servant","Secondary / secondary special",Married,"House / apartment",-20542,-9422,1,0,1,0,"Core staff",2,0
179,5113717,F,N,N,1,135000,Working,"Secondary / secondary special",Married,"House / apartment",-16415,-3054,1,0,0,1,"Private service staff",3,0
180,5066765,F,N,Y,1,63000,"Commercial associate","Secondary / secondary special",Married,"House / apartment",-14550,-2987,1,0,0,0,"Sales staff",3,0
181,5105227,F,N,Y,0,135000,Working,"Secondary / secondary special",Married,"House / apartment",-17365,-2128,1,0,0,0,Laborers,2,0
183,5067187,F,N,Y,0,112500,Working,"Higher education",Married,"House / apartment",-11432,-820,1,1,0,0,"Core staff",2,0
184,5105818,F,N,Y,0,45000,Pensioner,"Secondary / secondary special",Married,"House / apartment",-22072,365243,1,0,1,0,Laborers,2,0
185,5033574,F,Y,Y,1,191399.3262,Working,"Secondary / secondary special",Married,"House / apartment",-14222,-141,1,1,1,0,"Cooking staff",3,0
186,5125478,F,N,Y,0,202500,Pensioner,"Secondary / secondary special",Married,"House / apartment",-20661,365243,1,0,0,0,Laborers,2,0
193,5048583,F,N,Y,0,135000,Pensioner,"Secondary / secondary special",Married,"House / apartment",-21579,365243,1,0,0,0,Laborers,2,0
195,5052722,F,N,N,0,126000,Pensioner,"Secondary / secondary special",Married,"House / apartment",-21875,365243,1,0,0,0,Laborers,2,0
201,5021445,F,N,Y,0,121500,Working,"Secondary / secondary special",Married,"With parents",-13315,-5204,1,1,1,0,"Core staff",2,0
203,5116163,F,N,Y,2,90000,Working,"Secondary / secondary special",Married,"House / apartment",-9899,-320,1,0,0,0,"Security staff",4,0
207,5067345,F,Y,N,0,180000,"Commercial associate","Secondary / secondary special",Married,"House / apartment",-16541,-1085,1,0,1,0,Laborers,2,0
208,5053711,F,Y,N,2,157500,"Commercial associate","Incomplete higher",Married,"House / apartment",-12857,-1399,1,0,0,1,Laborers,4,0
209,5096234,F,N,N,0,117000,Working,"Secondary / secondary special",Married,"House / apartment",-17087,-7310,1,1,1,0,"Medicine staff",2,0
213,5105685,F,N,Y,2,144000,Working,"Secondary / secondary special",Married,"House / apartment",-14132,-2805,1,1,1,0,"Private service staff",4,0
215,5085769,F,N,Y,0,191399.3262,"Commercial associate","Secondary / secondary special",Married,"House / apartment",-19310,-1477,1,0,0,0,"Cleaning staff",2,0
217,5140074,F,N,Y,0,90000,"Commercial associate","Secondary / secondary special",Married,"House / apartment",-15124,-431,1,0,0,0,"Core staff",2,0
218,5067643,F,N,Y,0,171000,Pensioner,"Higher education",Married,"House / apartment",-19961,365243,1,0,0,0,Laborers,2,0
223,5046283,F,N,Y,0,67050,Pensioner,"Higher education",Married,"House / apartment",-24305,365243,1,0,0,0,Laborers,2,0
225,5096061,F,N,N,2,73350,Working,"Secondary / secondary special",Married,"House / apartment",-14321,-7068,1,0,0,0,"Medicine staff",4,0
226,5028917,F,Y,Y,0,112500,Working,"Secondary / secondary special",Married,"House / apartment",-17202,-1787,1,0,0,0,"Sales staff",2,0
228,5095310,F,Y,Y,0,225000,Working,"Higher education",Married,"House / apartment",-12322,-3717,1,0,0,0,"Core staff",2,0
229,5050655,F,N,N,0,112500,Working,"Secondary / secondary special",Married,"House / apartment",-14667,-1048,1,1,1,0,Accountants,2,0
230,5033817,F,Y,N,1,292500,"State servant","Higher education",Married,"House / apartment",-16010,-2667,1,0,1,0,"Core staff",3,0
235,5090549,F,N,Y,0,157500,Working,"Secondary / secondary special",Married,"House / apartment",-15241,-2531,1,0,0,0,Laborers,2,0
236,5054522,F,Y,Y,1,135000,Working,"Higher education",Married,"House / apartment",-10014,-2311,1,0,0,0,Laborers,3,0
237,5051061,F,N,N,2,112500,"Commercial associate","Secondary / secondary special",Married,"House / apartment",-11945,-1323,1,0,1,0,Laborers,4,0
247,5009195,F,N,N,0,292500,"State servant","Secondary / secondary special",Married,"House / apartment",-20953,-8684,1,1,1,0,Accountants,2,0
248,5139548,F,Y,Y,2,157500,"Commercial associate","Higher education",Married,"House / apartment",-13584,-6337,1,0,1,0,"Medicine staff",4,0
249,5096416,F,N,N,0,76500,Working,"Secondary / secondary special",Married,"House / apartment",-16876,-97,1,1,0,0,Laborers,2,0
252,5038897,F,N,Y,0,135000,Pensioner,"Secondary / secondary special",Married,"House / apartment",-22886,365243,1,0,1,0,Laborers,2,0
255,5113539,F,N,Y,0,157500,Working,"Secondary / secondary special",Married,"House / apartment",-20976,-1776,1,0,0,0,Laborers,2,0
256,5085990,F,Y,Y,0,225000,Pensioner,"Secondary / secondary special",Married,"House / apartment",-21717,365243,1,0,0,0,Laborers,2,0
257,5033452,F,N,N,0,112500,Working,"Secondary / secondary special",Married,"House / apartment",-19143,-5498,1,1,1,0,"Core staff",2,0
261,5105614,F,Y,Y,2,135000,Working,"Higher education",Married,"House / apartment",-12334,-460,1,0,0,0,Accountants,4,0
262,5038845,F,N,Y,0,103500,"Commercial associate","Secondary / secondary special",Married,"House / apartment",-17007,-1569,1,1,1,0,"Sales staff",2,0
263,5105556,F,N,Y,0,157500,Working,"Secondary / secondary special",Married,"House / apartment",-19802,-4532,1,0,0,0,Laborers,2,0
265,5009980,F,Y,Y,0,180000,"State servant","Secondary / secondary special",Married,"House / apartment",-20644,-3873,1,0,0,0,"Medicine staff",2,0
266,5062075,F,N,Y,0,112500,Pensioner,"Secondary / secondary special",Married,"House / apartment",-21392,365243,1,0,0,0,Laborers,2,0
267,5009706,F,N,N,0,157500,Working,"Higher education",Married,"House / apartment",-11644,-344,1,0,0,0,Managers,2,0
269,5112662,F,N,N,1,135000,"Commercial associate","Secondary / secondary special",Married,"House / apartment",-12269,-604,1,0,0,0,Managers,3,0
271,5066843,F,N,Y,0,135000,Pensioner,"Secondary / secondary special",Married,"House / apartment",-17090,365243,1,0,0,0,Laborers,2,0
274,5009074,F,Y,Y,1,450000,"State servant","Higher education",Married,"House / apartment",-17726,-708,1,0,1,1,"Core staff",3,0
279,5139662,F,N,Y,0,157500,Pensioner,"Lower secondary",Married,"House / apartment",-23483,365243,1,0,0,0,Laborers,2,0
282,5068038,F,N,N,0,112500,"State servant","Secondary / secondary special",Married,"With parents",-17164,-9363,1,0,0,0,"Medicine staff",2,0
283,5038814,F,N,Y,0,247500,"Commercial associate","Secondary / secondary special",Married,"House / apartment",-19366,-746,1,0,0,0,Laborers,2,0
286,5052865,F,N,Y,0,94500,"Commercial associate","Incomplete higher",Married,"House / apartment",-13870,-3458,1,1,1,0,"Sales staff",2,0
288,5023280,F,Y,Y,0,180000,"Commercial associate","Secondary / secondary special",Married,"House / apartment",-16701,-2457,1,0,0,0,"Sales staff",2,0
290,5136012,F,N,N,3,180000,Working,"Higher education",Married,"House / apartment",-13678,-7018,1,0,0,0,"Core staff",5,0
295,5036562,F,N,N,1,112500,Working,"Secondary / secondary special",Married,"House / apartment",-11953,-5107,1,1,0,0,Laborers,3,0
297,5125281,F,N,Y,1,90000,Working,"Secondary / secondary special",Married,"House / apartment",-16280,-3694,1,0,0,1,"Sales staff",3,0
299,5021267,F,Y,Y,1,270000,Working,"Secondary / secondary special",Married,"House / apartment",-14512,-4596,1,0,0,0,Laborers,3,0
302,5010089,F,N,N,0,225000,"Commercial associate","Secondary / secondary special",Married,"House / apartment",-10304,-1682,1,0,0,0,Laborers,2,0
303,5126457,F,N,N,0,94500,Working,"Higher education",Married,"House / apartment",-16825,-196,1,0,0,0,"Security staff",2,0
306,5090861,F,Y,Y,0,202500,"Commercial associate","Secondary / secondary special",Married,"House / apartment",-19765,-2168,1,0,0,0,"Sales staff",2,0
308,5023410,F,N,Y,0,112500,Pensioner,"Secondary / secondary special",Married,"House / apartment",-21642,365243,1,0,0,0,Laborers,2,0
311,5033628,F,N,Y,0,166500,"State servant","Higher education",Married,"House / apartment",-23599,-13382,1,0,0,0,Laborers,2,0
315,5126124,F,Y,N,0,72000,Working,"Secondary / secondary special",Married,"House / apartment",-15185,-227,1,1,1,0,"Medicine staff",2,0
319,5090612,F,Y,N,0,202500,Working,"Higher education",Married,"House / apartment",-13788,-2905,1,0,0,0,Accountants,2,0
320,5028274,F,Y,N,2,360000,Working,"Incomplete higher",Married,"House / apartment",-12730,-2213,1,0,0,0,Accountants,4,0
322,5126322,F,N,N,0,270000,Working,"Secondary / secondary special",Married,"House / apartment",-17778,-1719,1,1,1,0,"High skill tech staff",2,0
323,5053610,F,N,Y,0,112500,Working,"Secondary / secondary special",Married,"Municipal apartment",-20589,-3680,1,0,0,0,Laborers,2,0
324,5069227,F,Y,Y,0,191399.3262,"Commercial associate","Secondary / secondary special",Married,"House / apartment",-17330,-962,1,0,1,0,"Sales staff",2,0
327,5053114,F,N,Y,0,99000,Pensioner,"Secondary / secondary special",Married,"House / apartment",-23849,365243,1,0,0,0,Laborers,2,0
328,5149027,F,N,Y,0,162000,Pensioner,"Secondary / secondary special",Married,"House / apartment",-22795,365243,1,0,0,0,Laborers,2,0
330,5053354,F,Y,N,0,225000,Working,"Secondary / secondary special",Married,"House / apartment",-18362,-110,1,0,0,0,Laborers,2,0
334,5044860,F,N,Y,0,167400,Pensioner,"Secondary / secondary special",Married,"House / apartment",-19028,365243,1,0,0,0,Laborers,2,0
337,5009739,F,Y,N,0,99000,Working,"Secondary / secondary special",Married,"House / apartment",-14657,-4392,1,1,1,0,"Core staff",2,0
338,5096991,F,N,Y,1,225000,"Commercial associate","Higher education",Married,"House / apartment",-12272,-126,1,0,0,0,"Core staff",3,0
344,5068888,F,N,Y,0,225000,Working,"Secondary / secondary special",Married,"House / apartment",-23537,-4888,1,0,0,0,"Medicine staff",2,0
349,5068465,F,N,Y,1,90000,"Commercial associate","Secondary / secondary special",Married,"House / apartment",-10175,-1966,1,0,1,0,"Private service staff",3,0
350,5036881,F,Y,Y,0,225000,Pensioner,"Secondary / secondary special",Married,"House / apartment",-22471,365243,1,0,0,0,Laborers,2,0
352,5148812,F,N,Y,0,112500,Pensioner,"Secondary / secondary special",Married,"House / apartment",-22416,365243,1,0,0,0,Laborers,2,0
354,5078842,F,Y,Y,1,135000,Working,"Secondary / secondary special",Married,"With parents",-10532,-117,1,0,0,0,"Private service staff",3,0
356,5105150,F,N,Y,0,90000,Working,"Higher education",Married,"House / apartment",-18940,-1763,1,0,0,0,"Sales staff",2,0
357,5045253,F,N,Y,1,270000,Working,"Secondary / secondary special",Married,"House / apartment",-20854,-3689,1,0,0,0,"Core staff",3,0
358,5100000,F,N,N,1,180000,"Commercial associate","Secondary / secondary special",Married,"House / apartment",-15226,-3414,1,0,0,0,"Sales staff",3,0
359,5029725,F,N,Y,1,135000,"Commercial associate","Higher education",Married,"House / apartment",-9778,-2910,1,1,0,1,"Core staff",3,0
360,5090925,F,N,Y,0,243000,"Commercial associate","Secondary / secondary special",Married,"With parents",-17000,-3412,1,0,0,0,Laborers,2,0
362,5028572,F,N,Y,0,112500,Pensioner,"Higher education",Married,"House / apartment",-22062,365243,1,0,0,0,Laborers,2,0
365,5113291,F,Y,Y,2,121500,Working,"Incomplete higher",Married,"House / apartment",-11327,-101,1,1,1,0,"Core staff",4,0
366,5139951,F,Y,Y,0,121500,"State servant","Secondary / secondary special",Married,"House / apartment",-19988,-3231,1,1,0,0,Laborers,2,0
368,5148527,F,N,Y,0,180000,Pensioner,"Secondary / secondary special",Married,"House / apartment",-23365,365243,1,0,0,0,Laborers,2,0
369,5009443,F,N,N,0,90000,"State servant","Secondary / secondary special",Married,"House / apartment",-9489,-1682,1,0,1,0,Laborers,2,0
370,5096621,F,N,N,1,135000,Working,"Secondary / secondary special",Married,"House / apartment",-14461,-1589,1,0,1,0,Laborers,3,0
372,5118448,F,N,N,1,76500,Working,"Secondary / secondary special",Married,"House / apartment",-10080,-735,1,1,0,0,"Sales staff",3,0
376,5010397,F,Y,Y,1,225000,Working,"Higher education",Married,"House / apartment",-14148,-1591,1,1,1,0,"High skill tech staff",3,0
377,5047789,F,Y,Y,0,225000,"Commercial associate","Higher education",Married,"House / apartment",-10457,-979,1,0,0,0,Laborers,2,0
379,5150047,F,N,Y,0,283500,Working,"Secondary / secondary special",Married,"House / apartment",-17958,-655,1,0,0,0,"Sales staff",2,0
382,5088699,F,Y,Y,0,252000,Working,"Secondary / secondary special",Married,"House / apartment",-17562,-1261,1,0,0,0,"Medicine staff",2,0
392,5143164,F,N,N,2,180000,"Commercial associate","Secondary / secondary special",Married,"House / apartment",-13791,-1353,1,1,0,0,Accountants,4,0
393,5088834,F,N,Y,0,612000,"State servant","Secondary / secondary special",Married,"House / apartment",-12563,-3715,1,0,0,1,Accountants,2,0
394,5135841,F,N,Y,1,36000,Working,"Secondary / secondary special",Married,"House / apartment",-12417,-1113,1,0,1,0,"Core staff",3,0
397,5135574,F,Y,Y,0,180000,Working,"Secondary / secondary special",Married,"House / apartment",-11749,-992,1,0,0,0,"Medicine staff",2,0
398,5009053,F,N,Y,2,202500,Working,"Higher education",Married,"House / apartment",-10997,-2289,1,0,0,1,"Core staff",4,0
401,5091400,F,N,N,0,135000,Working,"Secondary / secondary special",Married,"With parents",-12278,-869,1,0,0,0,Laborers,2,0
402,5050768,F,N,N,2,337500,Working,"Secondary / secondary special",Married,"House / apartment",-10990,-2174,1,0,0,0,"Core staff",4,0
404,5113132,F,Y,Y,0,360000,"Commercial associate","Secondary / secondary special",Married,"House / apartment",-19033,-3535,1,0,0,0,"Sales staff",2,0
405,5062670,F,Y,Y,1,135000,Working,"Higher education",Married,"House / apartment",-14863,-4407,1,0,0,0,Managers,3,0
409,5045203,F,Y,Y,0,139500,Pensioner,"Secondary / secondary special",Married,"House / apartment",-21009,365243,1,0,0,0,Laborers,2,0
411,5029544,F,Y,Y,1,133650,"Commercial associate","Secondary / secondary special",Married,"House / apartment",-14596,-1965,1,0,0,0,Laborers,3,0
413,5111159,F,Y,Y,1,81000,Working,"Higher education",Married,"House / apartment",-10648,-1393,1,1,1,0,"Core staff",3,0
414,5099957,F,Y,Y,1,225000,"Commercial associate","Higher education",Married,"House / apartment",-11239,-460,1,0,0,0,Accountants,3,0
415,5143360,F,N,Y,0,126000,Working,"Secondary / secondary special",Married,"House / apartment",-22811,-2234,1,1,1,0,"High skill tech staff",2,0
417,5117403,F,N,N,0,94500,Working,"Secondary / secondary special",Married,"House / apartment",-16758,-1619,1,0,0,0,"Waiters/barmen staff",2,0
419,5137542,F,N,N,0,157500,Working,"Secondary / secondary special",Married,"House / apartment",-18881,-3153,1,1,0,0,"Cooking staff",2,0
421,5090780,F,N,N,1,202500,Working,"Secondary / secondary special",Married,"House / apartment",-12047,-3443,1,0,0,0,Managers,3,0
422,5092242,F,N,N,0,117000,Working,"Secondary / secondary special",Married,"House / apartment",-20754,-2330,1,0,0,0,Laborers,2,0
426,5052739,F,N,Y,2,180000,"Commercial associate","Secondary / secondary special",Married,"House / apartment",-10454,-505,1,0,0,1,"High skill tech staff",4,0
428,5025029,F,N,N,0,135000,Pensioner,"Secondary / secondary special",Married,"House / apartment",-20013,365243,1,0,0,0,Laborers,2,0
431,5024578,F,N,N,1,90000,Working,"Secondary / secondary special",Married,"With parents",-10253,-1462,1,0,0,0,Laborers,3,0
436,5045611,F,N,Y,2,90000,Working,"Secondary / secondary special",Married,"House / apartment",-11762,-716,1,0,0,0,Laborers,4,0
437,5113288,F,Y,Y,2,121500,Working,"Incomplete higher",Married,"House / apartment",-11327,-101,1,1,1,0,"Core staff",4,0
438,5053003,F,Y,Y,0,157500,Working,"Incomplete higher",Married,"House / apartment",-9389,-1632,1,1,1,0,Laborers,2,0
439,5118038,F,N,N,2,121500,Working,"Higher education",Married,"House / apartment",-11697,-614,1,0,0,0,"HR staff",4,0
448,5061321,F,Y,Y,1,261000,"State servant","Higher education",Married,"House / apartment",-15050,-1628,1,0,0,0,Managers,3,0
449,5139410,F,Y,Y,2,135000,"State servant","Secondary / secondary special",Married,"House / apartment",-14439,-6094,1,1,0,0,"Core staff",4,0
451,5139658,F,N,Y,0,157500,Pensioner,"Lower secondary",Married,"House / apartment",-23483,365243,1,0,0,0,Laborers,2,0
460,5054188,F,N,N,0,135000,Working,"Secondary / secondary special",Married,"House / apartment",-11390,-515,1,0,1,0,"Sales staff",2,0
467,5066562,F,N,N,0,180000,"Commercial associate","Incomplete higher",Married,"With parents",-8247,-430,1,1,0,1,"Sales staff",2,0
468,5062547,F,N,Y,3,247500,"Commercial associate","Incomplete higher",Married,"House / apartment",-12099,-2207,1,0,0,1,Laborers,5,0
470,5024665,F,N,Y,0,157500,Working,"Secondary / secondary special",Married,"House / apartment",-14425,-4568,1,1,1,0,Laborers,2,0
471,5089626,F,N,N,0,315000,"Commercial associate","Higher education",Married,"House / apartment",-16188,-309,1,1,1,1,"Sales staff",2,0
472,5021373,F,N,Y,0,247500,Working,"Higher education",Married,"House / apartment",-22100,-578,1,0,0,1,Managers,2,0
476,5018461,F,N,Y,1,166500,Working,"Secondary / secondary special",Married,"House / apartment",-20208,-8033,1,0,1,0,Laborers,3,0
477,5096300,F,N,N,1,112500,"Commercial associate","Secondary / secondary special",Married,"House / apartment",-9320,-2257,1,0,0,0,"High skill tech staff",3,0
479,5025047,F,Y,N,3,112500,Working,"Secondary / secondary special",Married,"House / apartment",-11731,-3776,1,1,1,0,Laborers,5,0
482,5038510,F,N,Y,0,103500,Working,"Incomplete higher",Married,"House / apartment",-11855,-4583,1,0,0,0,Laborers,2,0
483,5023482,F,N,Y,1,119250,Working,"Secondary / secondary special",Married,"House / apartment",-15931,-4404,1,1,1,0,"Core staff",3,0
485,5062713,F,N,Y,1,157500,Working,"Secondary / secondary special",Married,"House / apartment",-14510,-3805,1,0,0,0,"Core staff",3,0
486,5088851,F,Y,Y,0,112500,Working,"Higher education",Married,"House / apartment",-11353,-2316,1,0,0,1,Accountants,2,0
487,5111117,F,N,Y,1,315000,Working,"Higher education",Married,"House / apartment",-11602,-1455,1,0,0,0,Managers,3,0
491,5099907,F,N,Y,2,112500,Working,"Incomplete higher",Married,"House / apartment",-10927,-1860,1,0,0,0,"Core staff",4,0
498,5010781,F,Y,Y,1,157500,"Commercial associate","Higher education",Married,"House / apartment",-14474,-2259,1,0,0,1,"Core staff",3,0
499,5022761,F,N,Y,0,180000,Working,"Secondary / secondary special",Married,"House / apartment",-9791,-1344,1,0,0,1,"Sales staff",2,0
500,5041980,F,N,N,0,211500,"Commercial associate","Higher education",Married,"With parents",-14636,-4690,1,1,1,0,Laborers,2,0
503,5132264,F,N,N,0,144000,Working,"Secondary / secondary special",Married,"House / apartment",-16040.34207,-2052,1,0,1,0,Laborers,2,0
504,5142136,F,N,N,2,144000,Working,"Secondary / secondary special",Married,"House / apartment",-17001,-5004,1,0,0,0,"Medicine staff",4,0
507,5139553,F,Y,Y,2,157500,"Commercial associate","Higher education",Married,"House / apartment",-13584,-6337,1,0,1,0,"Medicine staff",4,0
508,5041474,F,N,Y,0,90000,"Commercial associate","Higher education",Married,"House / apartment",-9006,-793,1,0,0,1,"Sales staff",2,0
509,5025020,F,N,Y,0,148500,Pensioner,"Secondary / secondary special",Married,"House / apartment",-21512,365243,1,0,0,0,Laborers,2,0
